body,rate,likes,dislikes,created_at,is_buyer,product_id,Price,clean_body,word_count,char_len,unique_word_ratio,emoji_count,hour,dayofweek,iso_score,lof_score,knn_dist,ensemble_score,ae_score,threshold_Isolation,is_outlier_Isolation,threshold_LOF,is_outlier_LOF,threshold_KNN,is_outlier_KNN,threshold_Ensemble,is_outlier_Ensemble,threshold_Autoencoder,is_outlier_Autoencoder,votes,is_outlier_consensus,explain
"کتاب خیلی خوبیه و ازش خوشم میاد من از اینجا کتابو نگرفتم ولی خواستم تجربه ام رو از خوندن این کتاب بگم تا بخرید این کتاب تازگیا جلد دومش هم اومده به اسم قاره مرده ولی دیجی کالا ندارش
فقط اگه خواستین اگه خواستید این کتاب رو بگیرین 
از انتشارات پرتقال بگیرین چون خیلی روان هست و صفحه هاشم رنگ زرده که اگه تو تاریکی هم بخواین بخونینش راحت باشین
من خودم وقتی خریدم تو یه روز و نیم خوندمش کلا بین دویست پنجاه تا سیصد صفحهس 
راستی بهتون پیشنهاد می کنم کتاب سرینیتی و انجمن سری بندیکت هم از انتشارات پرتقال بگیرین عالیهن همشون
کلا از پرتقال خوشم دو سوم کتابام از پرتقاله",5.0,1,0,,False,2483217,706500,کتاب خیلی خوبیه و ازش خوشم میاد من از اینجا کتابو نگرفتم ولی خواستم تجربه ام رو از خوندن این کتاب بگم تا بخرید این کتاب تازگیا جلد دومش هم اومده به اسم قاره مرده ولی دیجی کالا ندارش فقط اگه خواستین اگه خواستید این کتاب رو بگیرین از انتشارات پرتقال بگیرین چون خیلی روان هست و صفحه هاشم رنگ زرده که اگه تو تاریکی هم بخواین بخونینش راحت باشین من خودم وقتی خریدم تو یه روز و نیم خوندمش کلا بین دویست پنجاه تا سیصد صفحهس راستی بهتون پیشنهاد می کنم کتاب سرینیتی و انجمن سری بندیکت هم از انتشارات پرتقال بگیرین عالیهن همشون کلا از پرتقال خوشم دو سوم کتابام از پرتقاله,114,560,0.7280701754385965,0,-1,-1,-0.030694934825539644,-5.795519279794494,5.667553959949255,0.31123611317331185,0.25898158762561574,-0.026150216236085322,0,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,3,1,طول متن غیرمعمول (114 کلمه)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
مناسب و به صرفه,4.0,0,0,,True,441246,421600,مناسب و به صرفه,4,15,1.0,0,-1,-1,-0.010225927114800581,-2.995718529376816,4.32365875902442,0.347538488044239,0.04266554119530497,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,0,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، Ensemble
کتاب با کیفیت سالم و قیمت مناسب و برگه های گلاسه به دستم رسید. خیلی ممنون از دیجی کالا و انتشارات فمیلی استور بابت خدمات خوبشون,5.0,0,0,,True,104027,1780000,کتاب با کیفیت سالم و قیمت مناسب و برگه های گلاسه به دستم رسید خیلی ممنون از دیجی کالا و انتشارات فمیلی استور بابت خدمات خوبشون,26,126,0.9230769230769232,0,-1,-1,-0.032328238745117754,-5.653594781764023,5.756659257338812,0.3081788640479394,0.31810855384880005,-0.026150216236085322,0,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,3,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
فوق العاده پر محتوا و بسته بندی وکیوم و کاغذ سبک,0.0,0,0,,True,3188226,1370000,فوق العاده پر محتوا و بسته بندی وکیوم و کاغذ سبک,11,48,0.9090909090909092,0,-1,-1,-0.02431439341584235,-5.806498834972531,6.085025878397319,0.3299584503766623,0.06047117021350515,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
خیلی طرحای متنوعی داره,5.0,0,0,,True,3622949,198000,خیلی طرحای متنوعی داره,4,22,1.0,0,-1,-1,-0.024837109027489646,-4.774285063818148,4.758632909164287,0.31698220544863387,0.09239333336327415,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,0,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، LOF، Ensemble
نمیدونم اینایی که میان نظر مثبت میدن واقعا جواب گرفتن یا توقعشون در چه حده، این ترکیب افتضاح ترین کرمی هست که میتونین پولتون رو دور بریزین و بخرین، اولا که نسبت به قیمت حجم کمی داره، یعنی بخواین فقط به شکمتون بزنین ۱۰ روزم جوابگو نیست، اصلا آبرسانی و چربی به پوست نداره، بلافاصله بعدش که میزنین پوست خشک میشه، در نهایتم مثل فیتیله رو پوستتون میماسه، مثل بچگیا که چسب مایع میزدیم و میکندیم، اونجوریه، من همه این کرم ها رو امتحان کردم، هیدرودرم رو اصلا پیشنهاد نمیدم، جای این روغن بادوم شیرین و زیتون بزنین خیلی خیلی بهتره، بهترین کالای موجود هم الان کرم ترک پالمرز هست.,1.0,4,0,,True,82037,1173000,نمیدونم اینایی که میان نظر مثبت میدن واقعا جواب گرفتن یا توقعشون در چه حده این ترکیب افتضاح ترین کرمی هست که میتونین پولتون رو دور بریزین و بخرین اولا که نسبت به قیمت حجم کمی داره یعنی بخواین فقط به شکمتون بزنین روزم جوابگو نیست اصلا آبرسانی و چربی به پوست نداره بلافاصله بعدش که میزنین پوست خشک میشه در نهایتم مثل فیتیله رو پوستتون میماسه مثل بچگیا که چسب مایع می زدیم و می کندیم اونجوریه من همه این کرم ها رو امتحان کردم هیدرودرم رو اصلا پیشنهاد نمیدم جای این روغن بادوم شیرین و زیتون بزنین خیلی خیلی بهتره بهترین کالای موجود هم الان کرم ترک پالمرز هست,111,554,0.7927927927927928,0,-1,-1,-0.009316885300316713,-5.577146677620049,6.058722929648307,0.36504330620411424,0.1511101639673823,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,طول متن غیرمعمول (111 کلمه)؛ امتیاز افراطی (1.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
من این کرم و برای دخترم خریده بودم که گاهی به پوست دستش که خشک میشه بزنه ،چندبار کرمهای خودم در دسترس نبود از این کرم استفاده کردم و به صورتم زدم و واقعا تاثیر شگفت انگیزش و دیدم ،بدون اغراق برای من‌مثل معجزه بود اینهمه کرم گرون و برندهای خارجی خریده بودم هیچ کدوم تاثیرش مثل این کرم نبود من پوست خشک و به شدت دهیدراته ای داشتم بطوری که وقتی دست می کشیدم پوسته پوسته وزبر بود و واقعا ناراحت بودم اما این کرم پوستمو درمان کرد و واقعا دیگه هیچکدوم از اون کرمهای گرون بیخاصیت رو استفاده نمیکنم ،نمیگم کرمهای برند یا گرون بد هستن اما رو پوست من واقعا هیچ تاثیری نداشتن .بازم از این کرم میخرم و این نظر رو بعد چند مدت استفاده اینجا گذاشتم ,0.0,0,0,,True,82138,1036000,من این کرم و برای دخترم خریده بودم که گاهی به پوست دستش که خشک میشه بزنه چندبار کرمهای خودم در دسترس نبود از این کرم استفاده کردم و به صورتم زدم و واقعا تاثیر شگفت انگیزش و دیدم بدون اغراق برای من مثل معجزه بود اینهمه کرم گرون و برندهای خارجی خریده بودم هیچ کدوم تاثیرش مثل این کرم نبود من پوست خشک و به شدت دهیدراته ای داشتم بطوری که وقتی دست می کشیدم پوسته پوسته وزبر بود و واقعا ناراحت بودم اما این کرم پوستمو درمان کرد و واقعا دیگه هیچکدوم از اون کرمهای گرون بیخاصیت رو استفاده نمی کنم نمیگم کرمهای برند یا گرون بد هستن اما رو پوست من واقعا هیچ تاثیری نداشتن بازم از این کرم می خرم و این نظر رو بعد چند مدت استفاده اینجا گذاشتم,134,631,0.6119402985074627,0,-1,-1,-0.005509239784517506,-5.608119578289282,6.880577229799026,0.38128753985090386,0.2952566432199173,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,طول متن غیرمعمول (134 کلمه)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
واقعا روغن خالص با کیفیتی بود، برای دردهای عضلانی و کمردرد خیلی خوب جواب داد. چند قطره‌اش موضع رو خیلی خوب گرم میکنه. از کیفیتش بسیار راضیم.,5.0,15,0,,True,8135936,550000,واقعا روغن خالص با کیفیتی بود برای دردهای عضلانی و کمردرد خیلی خوب جواب داد چند قطره اش موضع رو خیلی خوب گرم میکنه از کیفیتش بسیار راضیم,28,136,0.9285714285714286,0,-1,-1,-0.027296731878851954,-5.641863617378959,7.248059277049526,0.3332340516660656,0.47604914766899126,-0.026150216236085322,0,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,3,1,امتیاز افراطی (5.0)؛ الگوی تعامل نامتوازن؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
قیمت مناسب عالی ممنونم  از دیجی کالا حتماً بخرید ,5.0,1,0,,True,1128024,1439900,قیمت مناسب عالی ممنونم از دیجی کالا حتما بخرید,9,46,1.0,0,-1,-1,-0.023847238377819435,-3.7724498984110157,7.45988199223518,0.3432330003250171,0.25811034758472173,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,5,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble، Autoencoder
وقتی  جنگها بصورت خانه به خانه یا اصطلاحآ شهری در میاد معادله قدرت به شناخت راههای ومعابر و‌بطور کلی بافت شهر معطوف میشه خدا هرگز اون روز رو نیاره ولی واقعیتی که در جنگهای تروریستی امروزی به واقع مشاهده کردیم استفاده بیرحمانه از سپر انسانی ومردم بیگناه دردناک وغیر باور پذیره اما واقعیت جنگهای شهری همینگونه هست کتاب بطور گزینشی مقایسه جنگهای شهری از جنگهای جهانی تا به امروزه رو تشریح میکنه که خواندنش خالی از لطف نیست,2.7,2,0,,True,740439,1342500,وقتی جنگها بصورت خانه به خانه یا اصطلاحآ شهری در میاد معادله قدرت به شناخت راه های ومعابر و بطور کلی بافت شهر معطوف میشه خدا هرگز اون روز رو نیاره ولی واقعیتی که در جنگهای تروریستی امروزی به واقع مشاهده کردیم استفاده بیرحمانه از سپر انسانی ومردم بیگناه دردناک وغیر باور پذیره اما واقعیت جنگهای شهری همینگونه هست کتاب بطور گزینشی مقایسه جنگهای شهری از جنگهای جهانی تا به امروزه رو تشریح میکنه که خواندنش خالی از لطف نیست,80,419,0.8125,0,-1,-1,-0.013815353846087786,-5.6535243036097516,5.785469736403858,0.35203014605626604,0.09563926023296884,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,تأیید چند مدل: Isolation، KNN، Ensemble
فعلاا که خوبه,4.0,0,0,,True,3258473,380000,فعلاا که خوبه,3,13,1.0,0,-1,-1,-0.02887106279920526,-4.788125925226998,5.162550589543269,0.31105932826724947,0.3848082724591794,-0.026150216236085322,0,-4.831470228940646,1,5.491725233239491,0,0.3064265381176661,1,0.19635706898523037,1,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: LOF، Ensemble، Autoencoder
خیلی خوب و عالی است و قابل استفاده است,5.0,0,0,,False,6082001,999000,خیلی خوب و عالی است و قابل استفاده است,9,38,0.7777777777777778,0,-1,-1,-0.01822693619292942,-5.317904086970733,5.648336171575828,0.34042694342715557,0.22014846663694015,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
مزیت اصلی دو عامل کیفیت و طراحی این قیچی است و در نتیجه عمر بالاتری دارد. از اینکه این کالا در دیجی کالا موجود شده است سپاسگزارم,5.0,2,0,,False,4401217,740000,مزیت اصلی دو عامل کیفیت و طراحی این قیچی است و در نتیجه عمر بالاتری دارد از اینکه این کالا در دیجی کالا موجود شده است سپاسگزارم,27,127,0.8148148148148148,0,-1,-1,-0.005903473048796293,-5.671762481054952,5.5413485522058,0.3685001978628113,0.27136169369112023,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
